,author,comment,published_at,Number_of_likes
572,@mrfirdaus6187,Stupid,2022-08-05T01:36:50Z,0
573,@pollymaria7836,Sem noçao,2022-08-04T17:16:24Z,1
574,@rakeshpoojar5784,Kkkmmmm bnnkkk,2022-08-04T12:32:00Z,0
575,@TarunKumar-rj7ut,https://youtube.com/shorts/1s9lCwGowI4?feature=share,2022-08-04T12:16:56Z,0
576,@bhaskarchary668,Faltu ka idea hai,2022-08-04T11:16:27Z,0
577,@GianHainAap.,Astagfirullah,2022-08-04T10:08:00Z,1
578,@hello100,Rip the driver that was sideways,2022-08-04T08:36:17Z,2
579,@meosara2k115,Chủ video ơi tại sao xe cứu thương ko đc qua rõ ràng xe cứu thương đg đi cứu hàng trăm người ngoài kia mà tại sao ko cho qua,2022-08-04T00:44:56Z,2
580,@marlenezavaletagutierrez2932,Gráficas HD,2022-08-03T22:56:01Z,1
581,@albert123500,STUPID CHINA,2022-08-03T15:18:18Z,0
582,@adelshakiba,😂🤣❤❤❤❤,2022-08-03T09:53:35Z,2
583,@سلمى-ل7م,😯😯😯😯,2022-08-01T15:57:26Z,0
584,@sahalomali115,😌😔😏☺️🤗🤭🥱,2022-08-01T11:55:40Z,0
585,@ingafranke2348,???,2022-07-31T19:49:58Z,0
586,@scienceoftechnology6379,Technology,2022-07-31T06:39:41Z,3
587,@scienceoftechnology6379,Tggy,2022-07-31T06:39:28Z,1
588,@hoahoanguyenphuong3366,Maaaaaaaaaaaaaaaaaa  noooooooo  stop aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2022-07-31T05:16:11Z,0
589,@gamergrilpro975,Wow😁😁😁😂🤣,2022-07-30T08:35:08Z,2
590,@abhaytiwari6135,Hi,2022-07-30T06:53:09Z,3
591,@user-ml4lv8ex6c,I am worried about the future...,2022-07-30T05:22:17Z,0
592,@miriamortizlopez132,"Habran más accidentes, con esas estupideces.😠😡",2022-07-29T21:08:53Z,3
593,@I_dont_know567,"Если бы это было в реальности, это было бы ужастно",2022-07-29T17:29:50Z,3
594,@marinette416,Lol I hope not 🤣,2022-07-28T20:18:19Z,8
595,@sabirhosen339,Amin,2022-07-27T15:56:10Z,0
596,@MDsalim-ho2vf,"Fifa Qatar World Cup Super Song
https://youtu.be/XW-x2mAjH1g",2022-07-27T12:27:04Z,0
597,@passionnma,https://youtu.be/jzrglU9J8N0,2022-07-27T10:37:21Z,0
598,@arslansaith1241,Mash Allah subhan Allah,2022-07-27T08:52:28Z,7
599,@moxinurqilicheva6383,Идиотизм,2022-07-27T08:02:52Z,0
600,@radhemohon9905,"0p,",2022-07-26T19:31:14Z,1
601,@franekkromka7246,Faker,2022-07-26T16:40:46Z,0
602,@wtf-r7s,ไดบแใไงไดลด,2022-07-26T14:46:06Z,0
603,@wtf-r7s,3d9do,2022-07-26T14:45:50Z,0
604,@wtf-r7s,Wpdd🖕,2022-07-26T14:45:23Z,0
605,@jorgepereira5377,Kakakkak,2022-07-24T22:56:37Z,0
606,@김재웅-h5o,설치한사람주댕이딱대  턱불리시켜줄게,2022-07-24T04:11:37Z,8
607,@mwangimungai9765,Magic or technology?,2022-07-23T21:34:57Z,4
608,@andrewol7794,???????????????????????,2022-07-23T17:54:21Z,1
609,@SanataniKingdom-e4n,*bullsh*t*,2022-07-23T12:33:39Z,1
610,@master-asik1536,р,2022-07-22T18:03:37Z,0
611,@SanthoshSanthosh-tx7ms,But ambulance ku vali vidala,2022-07-22T01:45:15Z,2
612,@ramonrosario4669,Que porque ra asen los chinos no tiene sentido xd,2022-07-22T01:08:14Z,1
613,@timpro..9,Wtf w-w-w-why this is very big ultra omega mega shit,2022-07-21T15:47:54Z,0
614,@TheGoofyDoodle,Edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited edited,2022-07-21T07:27:13Z,0
615,@mateuszkosmalski7707,Idiot technologii,2022-07-21T07:08:08Z,0
616,@hungbuiviet1272,người nhà cpvn cùng bọn Chínhphủviệt nam ăncứt và liếmlỗđíttao. rồi bị LHQ xử.,2022-07-21T04:11:48Z,0
617,@ch.vijayakumarkumar6839,Give me my 20 seconds back 😡,2022-07-21T03:25:09Z,0
618,@뉴파워리치-r9m,https://podgate.com/7c946e1참여자 전원 1만원 쿠폰제공https://podgate.com/8ba1807https://podgate.com/7c946e1,2022-07-20T22:52:53Z,0
619,@jojohinds3243,Stops ambulance from saving some ones  life the the mayer why did we make that there's a big rate of death in our city,2022-07-20T16:09:05Z,2
